partitioning,price,rooms_count,useful_surface,built_surface,bathrooms_count,price_range
decomandat,37400,2.0,65.0,65.0,1.0,mic
semidecomandat,39900,2.0,65.0,79.0,1.0,mic
decomandat,90290,2.0,58.0,68.0,1.0,mediu
decomandat,700000,5.0,233.0,270.0,3.0,mare
decomandat,48000,2.0,42.0,53.0,1.0,mic
decomandat,389888,4.0,161.0,188.0,3.0,mare
decomandat,389888,4.0,160.0,191.0,3.0,mare
decomandat,135000,2.0,50.0,70.0,1.0,mediu
decomandat,103320,2.0,47.0,58.0,1.0,mediu
decomandat,79900,2.0,61.0,72.0,1.0,mediu
decomandat,205000,2.0,63.0,76.0,1.0,mare
decomandat,215000,2.0,88.0,100.0,1.0,mare
decomandat,92500,2.0,39.0,56.0,1.0,mediu
decomandat,179000,4.0,162.0,192.0,2.0,mare
decomandat,49850,2.0,50.0,54.0,1.0,mic
semidecomandat,48112,2.0,52.0,59.0,1.0,mic
decomandat,55192,2.0,70.0,80.0,1.0,mic
semidecomandat,66670,2.0,46.0,58.0,1.0,mediu
semidecomandat,135000,4.0,90.0,124.0,3.0,mediu
decomandat,26800,1.0,30.0,,1.0,mic
decomandat,31500,1.0,39.0,47.0,1.0,mic
decomandat,39900,2.0,46.0,56.0,1.0,mic
decomandat,44400,2.0,43.0,52.0,1.0,mic
decomandat,135000,2.0,53.0,70.0,2.0,mediu
semidecomandat,126000,2.0,51.0,63.0,1.0,mediu
semidecomandat,173950,3.0,84.0,105.0,2.0,mare
decomandat,28900,1.0,31.0,41.0,1.0,mic
semidecomandat,49400,2.0,53.0,65.0,1.0,mic
decomandat,85000,3.0,145.0,160.0,2.0,mediu
decomandat,41800,2.0,51.0,60.0,1.0,mic
decomandat,117900,2.0,47.0,60.0,1.0,mediu
decomandat,31000,2.0,46.0,49.0,1.0,mic
decomandat,71500,2.0,60.0,80.0,1.0,mediu
decomandat,184999,3.0,90.0,108.0,2.0,mare
decomandat,209999,3.0,90.0,107.0,2.0,mare
decomandat,87000,2.0,76.0,76.0,1.0,mediu
decomandat,109500,3.0,90.0,107.0,2.0,mediu
decomandat,65900,2.0,63.0,85.0,1.0,mediu
decomandat,43500,2.0,46.0,50.0,1.0,mic
decomandat,99500,3.0,89.0,101.0,2.0,mediu
decomandat,82000,2.0,54.0,63.0,1.0,mediu
decomandat,71500,2.0,52.0,64.0,1.0,mediu
decomandat,173000,3.0,95.0,117.0,2.0,mare
decomandat,80500,2.0,58.0,70.0,1.0,mediu
semidecomandat,130200,2.0,75.0,89.0,1.0,mediu
decomandat,200000,3.0,82.0,99.0,2.0,mare
decomandat,106000,2.0,61.0,76.0,1.0,mediu
decomandat,39900,1.0,38.0,45.0,1.0,mic
decomandat,69500,2.0,60.0,84.0,1.0,mediu
decomandat,88498,2.0,57.0,63.0,1.0,mediu
decomandat,64900,2.0,60.0,71.0,1.0,mic
decomandat,58900,2.0,88.0,100.0,11.0,mic
decomandat,212625,3.0,85.0,102.0,2.0,mare
decomandat,65500,1.0,43.0,53.0,1.0,mediu
decomandat,35619,2.0,64.0,73.0,1.0,mic
semidecomandat,81000,1.0,47.0,57.0,1.0,mediu
decomandat,95000,2.0,55.0,75.0,1.0,mediu
semidecomandat,95000,2.0,54.0,71.0,1.0,mediu
decomandat,164000,3.0,123.0,157.0,2.0,mare
decomandat,148000,3.0,85.0,114.0,2.0,mare
decomandat,87500,3.0,,,2.0,mediu
semidecomandat,106000,3.0,71.0,93.0,2.0,mediu
decomandat,26900,1.0,32.0,43.0,1.0,mic
decomandat,53100,2.0,53.0,71.0,1.0,mic
decomandat,39700,1.0,51.0,60.0,1.0,mic
decomandat,215000,4.0,100.0,133.0,2.0,mare
decomandat,186000,3.0,82.0,111.0,2.0,mare
semidecomandat,295000,3.0,120.0,148.0,2.0,mare
decomandat,86900,2.0,66.0,78.0,1.0,mediu
decomandat,52500,2.0,54.0,54.0,1.0,mic
decomandat,301600,3.0,104.0,173.0,2.0,mare
decomandat,41221,1.0,43.0,50.0,1.0,mic
decomandat,63900,2.0,64.0,75.0,1.0,mic
decomandat,121500,3.0,76.0,89.0,2.0,mediu
decomandat,92000,2.0,61.0,71.0,1.0,mediu
decomandat,44900,2.0,55.0,,1.0,mic
decomandat,125000,3.0,92.0,125.0,2.0,mediu
decomandat,106257,3.0,80.0,86.0,2.0,mediu
,32500,2.0,34.0,,1.0,mic
decomandat,65900,2.0,63.0,86.0,1.0,mediu
decomandat,85900,2.0,52.0,63.0,1.0,mediu
decomandat,41800,2.0,51.0,61.0,1.0,mic
decomandat,50350,2.0,54.0,65.0,1.0,mic
decomandat,40755,1.0,41.0,48.0,1.0,mic
decomandat,115000,3.0,87.0,95.0,2.0,mediu
decomandat,119500,3.0,90.0,105.0,2.0,mediu
decomandat,54000,2.0,60.0,,1.0,mic
decomandat,484990,4.0,150.0,280.0,4.0,mare
decomandat,55000,2.0,54.0,59.0,1.0,mic
decomandat,53000,2.0,50.0,60.0,1.0,mic
semidecomandat,144550,2.0,47.0,86.0,1.0,mare
decomandat,26000,1.0,28.0,33.0,1.0,mic
decomandat,64900,3.0,72.0,90.0,2.0,mic
semidecomandat,59000,2.0,45.0,62.0,1.0,mic
decomandat,47500,2.0,36.0,45.0,1.0,mic
semidecomandat,104000,3.0,81.0,103.0,2.0,mediu
semidecomandat,95000,2.0,54.0,70.0,1.0,mediu
decomandat,43800,2.0,53.0,66.0,1.0,mic
decomandat,179237,3.0,82.0,110.0,2.0,mare
decomandat,91000,2.0,77.0,93.0,1.0,mediu
decomandat,44500,2.0,54.0,64.0,1.0,mic
decomandat,56000,2.0,70.0,81.0,1.0,mic
decomandat,550000,5.0,218.0,254.0,4.0,mare
decomandat,629000,4.0,124.0,155.0,3.0,mare
decomandat,52500,2.0,55.0,62.0,1.0,mic
decomandat,89000,3.0,74.0,96.0,1.0,mediu
decomandat,69429,3.0,79.0,92.0,2.0,mediu
decomandat,242424,4.0,,129.0,3.0,mare
decomandat,94000,4.0,90.0,,2.0,mediu
decomandat,92000,2.0,62.0,74.0,1.0,mediu
decomandat,129900,3.0,81.0,,2.0,mediu
decomandat,50900,2.0,55.0,62.0,1.0,mic
decomandat,125000,3.0,118.0,,2.0,mediu
semidecomandat,89900,2.0,60.0,71.0,1.0,mediu
semidecomandat,144500,3.0,86.0,125.0,1.0,mare
decomandat,67620,2.0,52.0,65.0,1.0,mediu
decomandat,65500,3.0,57.0,,1.0,mediu
semidecomandat,89000,3.0,71.0,93.0,1.0,mediu
decomandat,111000,3.0,80.0,,1.0,mediu
decomandat,51500,2.0,58.0,69.0,1.0,mic
decomandat,99500,3.0,89.0,102.0,2.0,mediu
decomandat,70389,3.0,80.0,92.0,2.0,mediu
semidecomandat,95000,2.0,54.0,74.0,2.0,mediu
semidecomandat,69994,2.0,45.0,53.0,1.0,mediu
decomandat,109177,3.0,80.0,85.0,2.0,mediu
decomandat,399000,4.0,173.0,206.0,4.0,mare
decomandat,116000,3.0,129.0,129.0,2.0,mediu
decomandat,82000,2.0,67.0,67.0,1.0,mediu
decomandat,74500,2.0,64.0,77.0,1.0,mediu
decomandat,67000,2.0,65.0,78.0,2.0,mediu
decomandat,124000,3.0,148.0,148.0,2.0,mediu
decomandat,71900,3.0,70.0,78.0,2.0,mediu
decomandat,52723,2.0,48.0,,1.0,mic
semidecomandat,319000,3.0,82.0,100.0,2.0,mare
decomandat,31500,1.0,39.0,49.0,1.0,mic
semidecomandat,89500,2.0,55.0,70.0,1.0,mediu
decomandat,675000,5.0,256.0,293.0,4.0,mare
decomandat,49990,2.0,45.0,52.0,1.0,mic
decomandat,109000,2.0,48.0,60.0,1.0,mediu
decomandat,62500,2.0,56.0,64.0,1.0,mic
semidecomandat,449000,4.0,131.0,198.0,3.0,mare
decomandat,90125,2.0,54.0,75.0,1.0,mediu
decomandat,104000,2.0,61.0,,1.0,mediu
decomandat,255000,3.0,103.0,123.0,2.0,mare
decomandat,59900,3.0,57.0,68.0,2.0,mic
decomandat,48325,2.0,58.0,68.0,1.0,mic
decomandat,69500,2.0,57.0,75.0,1.0,mediu
decomandat,89500,3.0,74.0,86.0,2.0,mediu
decomandat,251545,4.0,112.0,136.0,3.0,mare
decomandat,56500,2.0,51.0,56.0,1.0,mic
decomandat,215000,3.0,101.0,123.0,2.0,mare
semidecomandat,96116,3.0,66.0,87.0,2.0,mediu
decomandat,215000,4.0,100.0,133.0,2.0,mare
decomandat,775000,5.0,220.0,425.0,4.0,mare
decomandat,215000,3.0,87.0,107.0,2.0,mare
decomandat,118881,2.0,53.0,64.0,1.0,mediu
decomandat,93000,3.0,86.0,101.0,2.0,mediu
decomandat,26500,1.0,31.0,,1.0,mic
decomandat,45400,2.0,50.0,,1.0,mic
decomandat,87150,2.0,67.0,80.0,1.0,mediu
decomandat,36800,2.0,40.0,,1.0,mic
decomandat,474888,5.0,168.0,258.0,4.0,mare
decomandat,31500,1.0,39.0,49.0,1.0,mic
decomandat,32000,1.0,32.0,,1.0,mic
decomandat,83000,2.0,51.0,64.0,1.0,mediu
decomandat,83000,2.0,56.0,60.0,1.0,mediu
semidecomandat,449888,4.0,113.0,145.0,3.0,mare
decomandat,52900,2.0,48.0,54.0,1.0,mic
decomandat,86500,3.0,69.0,85.0,1.0,mediu
decomandat,59900,3.0,72.0,,2.0,mic
decomandat,43850,2.0,50.0,62.0,1.0,mic
semidecomandat,660000,6.0,231.0,290.0,3.0,mare
decomandat,45800,2.0,57.0,63.0,1.0,mic
semidecomandat,40000,1.0,49.0,51.0,1.0,mic
decomandat,53450,2.0,49.0,54.0,1.0,mic
decomandat,124000,3.0,190.0,230.0,2.0,mediu
semidecomandat,92700,2.0,56.0,71.0,1.0,mediu
decomandat,98500,2.0,59.0,69.0,1.0,mediu
decomandat,474990,4.0,165.0,258.0,3.0,mare
decomandat,130000,2.0,72.0,86.0,1.0,mediu
decomandat,42500,2.0,50.0,68.0,1.0,mic
decomandat,56500,2.0,51.0,56.0,1.0,mic
decomandat,43000,2.0,52.0,56.0,1.0,mic
decomandat,28000,1.0,30.0,,1.0,mic
semidecomandat,546700,4.0,146.0,208.0,3.0,mare
semidecomandat,87000,2.0,47.0,77.0,2.0,mediu
decomandat,49500,2.0,50.0,60.0,1.0,mic
decomandat,56099,2.0,65.0,75.0,1.0,mic
decomandat,75600,2.0,,,1.0,mediu
decomandat,167000,2.0,66.0,79.0,1.0,mare
decomandat,76600,2.0,87.0,100.0,1.0,mediu
decomandat,52350,2.0,52.0,62.0,1.0,mic
decomandat,73300,3.0,82.0,95.0,1.0,mediu
decomandat,59000,2.0,59.0,65.0,1.0,mic
decomandat,115000,3.0,76.0,,2.0,mediu
decomandat,167000,2.0,66.0,79.0,1.0,mare
decomandat,52000,2.0,51.0,63.0,1.0,mic
decomandat,51600,2.0,50.0,60.0,1.0,mic
decomandat,49990,2.0,45.0,52.0,1.0,mic
decomandat,49500,2.0,50.0,55.0,1.0,mic
decomandat,39400,1.0,36.0,42.0,1.0,mic
decomandat,83500,3.0,84.0,95.0,2.0,mediu
decomandat,39400,1.0,36.0,45.0,1.0,mic
decomandat,151630,4.0,81.0,118.0,2.0,mare
decomandat,83850,3.0,84.0,100.0,2.0,mediu
decomandat,61500,2.0,62.0,70.0,1.0,mic
decomandat,55000,2.0,55.0,66.0,1.0,mic
decomandat,46000,1.0,37.0,47.0,1.0,mic
decomandat,52900,2.0,48.0,54.0,1.0,mic
decomandat,61500,2.0,54.0,64.0,1.0,mic
decomandat,118000,3.0,72.0,104.0,2.0,mediu
decomandat,64000,2.0,56.0,66.0,1.0,mic
decomandat,187725,2.0,63.0,75.0,1.0,mare
decomandat,39500,1.0,36.0,43.0,1.0,mic
decomandat,92000,2.0,65.0,75.0,1.0,mediu
decomandat,155000,2.0,70.0,83.0,1.0,mare
decomandat,55500,2.0,62.0,,1.0,mic
decomandat,60857,3.0,67.0,76.0,2.0,mic
decomandat,84396,2.0,51.0,76.0,2.0,mediu
decomandat,59300,2.0,52.0,55.0,1.0,mic
decomandat,45900,2.0,44.0,52.0,1.0,mic
,115000,3.0,91.0,,2.0,mediu
decomandat,97900,2.0,50.0,78.0,1.0,mediu
decomandat,42600,2.0,50.0,59.0,1.0,mic
decomandat,61900,3.0,63.0,70.0,2.0,mic
semidecomandat,79500,3.0,68.0,74.0,2.0,mediu
decomandat,105000,3.0,80.0,88.0,2.0,mediu
decomandat,116000,3.0,81.0,115.0,2.0,mediu
decomandat,124000,3.0,80.0,,2.0,mediu
decomandat,82845,2.0,38.0,50.0,1.0,mediu
decomandat,54100,2.0,54.0,68.0,1.0,mic
decomandat,490000,4.0,185.0,222.0,3.0,mare
decomandat,69900,1.0,33.0,60.0,1.0,mediu
decomandat,130000,3.0,87.0,95.0,2.0,mediu
decomandat,77374,2.0,51.0,71.0,2.0,mediu
decomandat,51000,2.0,68.0,79.0,1.0,mic
decomandat,65450,3.0,69.0,69.0,2.0,mediu
decomandat,130000,2.0,71.0,86.0,1.0,mediu
decomandat,48000,2.0,63.0,75.0,1.0,mic
decomandat,173000,4.0,133.0,179.0,3.0,mare
semidecomandat,93500,3.0,71.0,93.0,2.0,mediu
decomandat,219170,4.0,100.0,133.0,2.0,mare
decomandat,870000,4.0,152.0,176.0,3.0,mare
decomandat,77900,2.0,46.0,56.0,1.0,mediu
decomandat,52380,2.0,47.0,54.0,1.0,mic
decomandat,65100,2.0,54.0,64.0,1.0,mediu
semidecomandat,55900,2.0,52.0,60.0,1.0,mic
decomandat,62900,2.0,62.0,,1.0,mic
semidecomandat,36000,2.0,45.0,47.0,1.0,mic
decomandat,60900,1.0,36.0,55.0,1.0,mic
decomandat,489000,4.0,124.0,165.0,3.0,mare
decomandat,67856,2.0,66.0,76.0,1.0,mediu
decomandat,49500,1.0,38.0,50.0,1.0,mic
decomandat,83850,3.0,83.0,95.0,2.0,mediu
decomandat,60000,2.0,66.0,,1.0,mic
decomandat,88600,2.0,72.0,86.0,1.0,mediu
decomandat,67000,2.0,66.0,80.0,2.0,mediu
decomandat,380000,3.0,326.0,391.0,2.0,mare
decomandat,135000,2.0,55.0,78.0,1.0,mediu
decomandat,69685,2.0,44.0,63.0,1.0,mediu
decomandat,78000,2.0,57.0,68.0,1.0,mediu
decomandat,93649,2.0,48.0,65.0,1.0,mediu
decomandat,87300,3.0,76.0,96.0,2.0,mediu
decomandat,58300,2.0,41.0,52.0,1.0,mic
decomandat,59200,2.0,59.0,65.0,1.0,mic
decomandat,58900,2.0,52.0,62.0,1.0,mic
decomandat,55000,2.0,59.0,,1.0,mic
decomandat,58500,2.0,50.0,62.0,1.0,mic
decomandat,88500,2.0,64.0,76.0,1.0,mediu
decomandat,87800,2.0,62.0,65.0,1.0,mediu
decomandat,389000,4.0,144.0,177.0,3.0,mare
decomandat,29880,2.0,40.0,48.0,1.0,mic
semidecomandat,259000,3.0,87.0,99.0,2.0,mare
decomandat,155000,2.0,69.0,92.0,1.0,mare
decomandat,396000,3.0,90.0,127.0,2.0,mare
semidecomandat,99500,4.0,105.0,120.0,2.0,mediu
decomandat,79000,3.0,84.0,100.0,2.0,mediu
semidecomandat,269000,3.0,91.0,105.0,2.0,mare
decomandat,56600,2.0,58.0,68.0,1.0,mic
decomandat,289000,4.0,117.0,135.0,3.0,mare
semidecomandat,74000,3.0,59.0,81.0,1.0,mediu
decomandat,55000,2.0,55.0,60.0,1.0,mic
decomandat,44500,2.0,53.0,55.0,1.0,mic
